50000|1|ZA-CHECK_SHOT|0|0|70210|D|KIS10|1.570|1.5|NULL|NULL|NULL|01010000A07C7F00008EA3A441E0942641FA1DD4B04ABC49419A298EFB1CEB9640|16|NULL|NULL||
50001|2|ZA-CHECK_SHOT|0|0|70210|D|KIS10|1.570|1.5|NULL|NULL|NULL|01010000A07C7F0000900D493CE09426418CC289B04ABC4941F5055736DCB19640|17|NULL|NULL||
50002|3|PS-PERIMETER_START|7000|A4|70210|D|KIS10|1.570|1.5|1|NULL||01010000A07C7F0000635B4876D99426417FB9BB264FBC4941D2790DB9C4AE9640|18|NULL|NULL|39,58|Storage
50003|4|PS-PERIMETER_START|7001|A3|70210|D|KIS10|1.570|1.5|1|NULL|1|01010000A07C7F0000F1B77F75D3942641A9B40F4A50BC4941E129ADC57CAD9640|19|NULL|NULL|6,41|Storage
50004|5|PS-PERIMETER_START|7002|A4|70210|D|KIS10|1.570|1.5|1|NULL|1|01010000A07C7F000055AD3B94DF942641CEBD2CB54FBC49415C5C35A036AD9640|20|NULL|NULL|41,58|Storage
50005|6|PS-PERIMETER_START|7003|B2-B3,C2-C3|70210|D|KIS10|1.570|1.5|1|NULL|1|01010000A07C7F0000447F9117CF9426418EF6899F4CBC49415B88178519B19640|21|NULL|NULL|7|Storage
50006|7|OV-OVEN|7000|A4|70210|D|KIS10|1.570|1.5|NULL|NULL|1|01010000A07C7F00002BC7E004DA942641A4C8B5A84FBC49414A569ADC77AD9640|22|NULL|NULL|58|Storage
50007|8|PB-PERIMETER_BOTTOM|7000|A4|70210|D|KIS10|1.570|1.5|NULL|NULL|NULL|01010000A07C7F0000D3A6C958D994264147414B434FBC494163A1122AE1AD9640|23|NULL|NULL||
50008|9|PS-PERIMETER_START|7004|A4|70210|D|KIS10|1.570|1.5|NULL|NULL|NULL|01010000A07C7F0000C1472F58D99426418F9FD7424FBC49410592CFEAE2AD9640|24|NULL|NULL||
50009|1|ZA-CHECK_SHOT|0|0|70310|D|KIS10|1.557|1.5|NULL|NULL|NULL|01010000A07C7F0000872DE23CE0942641FE38ABB04ABC494191C73541CFB19640|25|NULL|NULL||
50010|2|GR-GROUND_SHOT|7002|A4|70310|D|KIS10|1.557|1.5|NULL|NULL|2|01010000A07C7F00002E48448EDD942641546A9B2A50BC4941451C081455AD9640|26|NULL|NULL|6,40|Storage
50011|3|GR-GROUND_SHOT|7004|A4|70310|D|KIS10|1.557|1.5|NULL|NULL|NULL|01010000A07C7F00007DEE1D86D99426415E73FD4A4FBC4941C7AC929CC6AD9640|27|NULL|NULL||
50012|4|GR-GROUND_SHOT|7001|A4|70310|D|KIS10|1.557|1.5|NULL|NULL|1|01010000A07C7F0000566B7A29D3942641FD7D105B50BC49418D4320876BAD9640|28|NULL|NULL|41,41|Storage
50013|5|GR-GROUND_SHOT|7003|B2-B3,C2-C3|70310|D|KIS10|1.557|1.5|1|NULL|1|01010000A07C7F00001D5403EDCC942641F542A6A84CBC4941A5FC454490B09640|29|NULL|NULL|39,58|Storage
50014|6|ZB-PHOTO|7002|A4|70310|D|KIS10|1.557|1.5|NULL|NULL|NULL|01010000A07C7F0000B6219499DF9426411F317A3250BC4941EBC05209E9AC9640|30|NULL|NULL||
