id,locusdesc,color,colorname,rgb,description,definition,translation
1,AA-ASH_LAYER,2F4F4F,Violet,79 47 79,SEDIMENT LAYERS,,
2,AL-ASH_LENS,DEDEDE,grey87,222 222 222,SEDIMENT LAYERS,,
3,AS-ASHFILL,6E6E6E,grey43,110 110 110,SEDIMENT LAYERS,,
4,BK-BEDROCK,,,,SEDIMENT LAYERS,,
5,BS-BASAL_LAYER,,,,SEDIMENT LAYERS,,
6,BU-BURIAL,,,,STRUCTURES AND FEATURES,,
7,CE-CAPSTONE,,,,STRUCTURES AND FEATURES,,
8,CS-CIRCULAR_FEATURE,,,,STRUCTURES AND FEATURES,,
9,CU-CUPMARK,,,,STRUCTURES AND FEATURES,,
10,CY-COURTYARD,,,,STRUCTURES AND FEATURES,,
11,DL-DESTRUCTION_LAYER,,,,STRUCTURES AND FEATURES,,
12,DS-DOOR_SOCKET,,,,STRUCTURES AND FEATURES,,
13,DT-DRESSED_STONE,,,,STRUCTURES AND FEATURES,cut stone used as architectural element,
14,FI-FILL,7FFF00,Slate Blue,0 127 255,SEDIMENT LAYERS,,
15,FL-FLOOR,,,,STRUCTURES AND FEATURES,,
16,FR-FAUNAL_REMAIN,,,,ORGANIC REMAINS,,
17,FS-FILL_OVER_SURFACE,,,,SEDIMENT LAYERS,,
18,FT-FOUNDATION_TRENCH,,,,STRUCTURES AND FEATURES,,
19,FX-SOIL_SAMPLE,,,,SEDIMENT LAYERS,,
20,GC-CYST,,,,STRUCTURES AND FEATURES,,
21,GS-GRINDING_SLAB,,,,STRUCTURES AND FEATURES,,
22,GV-GRAVE,,,,STRUCTURES AND FEATURES,,
23,HE-HEARTH,,,,STRUCTURES AND FEATURES,,
24,HR-HUMAN_REMAIN,,,,ORGANIC REMAINS,,
25,IN-INSTALLATION,EBCDFF,BlanchedAlmond,255 235 205,STRUCTURES AND FEATURES,,
26,LS-LITHIC_SCATTER,,,,LITHICS AND GROUNDSTONES,,
27,MB-MUDBRICK,,,,STRUCTURES AND FEATURES,,
28,MD-MUDBRICK_FILL,B90FFF,DarkGoldenrod1,255 185 15,SEDIMENT LAYERS,,
29,ML-METALLURGY_LAYER,,,,SEDIMENT LAYERS,,
30,OV-OVEN,7F50FF,coral,255 127 80,STRUCTURES AND FEATURES,,
31,PA-PERIMETER_ARTIFACT,,,,FAI FILE,polygon that encloses an artifact or artifact concentration within a locus,
32,PB-PERIMETER_BOTTOM,0,black,0 0 0,FAI FILE,closes a locus polygon,
33,PH-POST_HOLE,,,,STRUCTURES AND FEATURES,,
34,PI-PIT,,,,STRUCTURES AND FEATURES,,
35,PL-PLASTER,FFFFF0,azure,240 255 255,SEDIMENT LAYERS,,
36,PP-PILLAR,,,,STRUCTURES AND FEATURES,,
37,PM-PERIMETER_MIDDLE,,,,FAI FILE,redefines shape of locus polygon gives new basket # to locus,
38,PS-PERIMETER_START,,,,FAI FILE,opens a locus polygon,
39,PV-PAVEMENT,,,,STRUCTURES AND FEATURES,,
40,PX-PISE,,,,SEDIMENT LAYERS,,
41,PZ-PLATFORM,,,,STRUCTURES AND FEATURES,,
42,RM-ROOM,,,,STRUCTURES AND FEATURES,,
43,RR-ROCK_PERIMETER,,,,STRUCTURES AND FEATURES,defines a rock feature,
44,RT-ROBBER_TRENCH,73558B,burlywood4,139 115 85,STRUCTURES AND FEATURES,,
45,SI-SIEVE,,,,MISCELLANEOUS,,
46,SK-SLAG_LAYER,,,,METALLURGY,,
47,SR-STERILE_DEPOSIT,,,,SEDIMENT LAYERS,,
48,SS-STANDING_STONE,FF00FF,yellow,255 255 0,STRUCTURES AND FEATURES,,
49,ST-STRUCTURE,,,,STRUCTURES AND FEATURES,,
50,SU-SURFACE,E68CF0,khaki,240 230 140,STRUCTURES AND FEATURES,,
51,TH-THRESHOLD,,,,STRUCTURES AND FEATURES,,
52,TL-TOP_SOIL,C0C0C0,Silver,192 192 192,SEDIMENT LAYERS,,
53,VX-VESSEL_SCATTER,,,,CERAMICS,,
54,WA-WALL,B0B0B0,grey69,176 176 176,STRUCTURES AND FEATURES,,
55,WC-WALL_COLLAPSE,,,,STRUCTURES AND FEATURES,,
56,WD-WOOD,,,,ORGANIC REMAINS,,
57,WF-WALL_COLLAPSE_FILL,,,,SEDIMENT LAYERS,,
58,WP-WOOD_COLLAPSE,,,,STRUCTURES AND FEATURES,,
59,ZP-ROCK_PILE,,,,STRUCTURES AND FEATURES,,
